	sample_9	sample_7	sample_6	sample_10	sample_4
gene_6	1.78691313680308	-1.68669331074241	0.688640254100091	-1.12310858320335	1.51647060442954
gene_15	0.497850478229239	0.837787044494525	0.553917653537589	-0.402884835299076	-1.54875280423022
gene_8	-1.96661715662964	0.153373117836515	-0.0619117105767217	-0.466655353623219	0.584613749636069
gene_16	0.701355901563686	-1.13813693701195	-0.305962663739917	0.779965118336318	0.123854243844614
gene_17	-0.472791407727934	1.25381492106993	-0.380471001012383	-0.0833690664718293	0.215941568743973
gene_1	-1.06782370598685	0.426464221476814	-0.694706978920513	0.253318513994755	0.379639482759882
gene_18	-0.217974914658295	-0.295071482992271	-0.207917278019599	-0.028546755348703	-0.502323453109302
gene_12	-1.02600444830724	0.895125661045022	-1.26539635156826	-0.0428704572913161	-0.33320738366942
gene_7	-0.72889122929114	0.878133487533042	2.16895596533851	1.36860228401446	-1.01857538310709
gene_20	-0.625039267849257	0.821581081637487	1.20796199830499	-0.225770985659268	-1.07179122647558
